Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
99,1073.24,2831.30,1078.99,1760.42,1265.18,1105.49,1411.18,1212.78,1247.68,1147.18
100,1083.95,2864.29,1088.99,1776.50,1277.58,1115.94,1424.77,1213.80,1248.85,1158.77
101,1094.65,2897.28,,,1290.77,,1438.36,1229.90,1250.06,1170.35
102,1105.36,2930.27,,,1303.95,,1451.96,1242.07,1262.38,1181.94
103,1116.07,2963.26,,,1317.13,,1465.55,1254.25,1274.81,1193.53
104,1126.77,2996.25,,,1330.31,,1479.14,1266.43,1287.22,1205.12
105,1137.48,3029.24,,,1343.50,,1492.73,1278.61,1299.56,1216.70
106,1148.18,3062.23,,,1356.68,,1506.32,1290.78,1311.98,1228.29
107,1158.89,3095.22,,,1369.86,,1519.91,1302.96,1324.31,1239.88
108,1169.59,3128.21,,,1383.05,,1533.50,1315.14,1336.72,1251.47
109,1180.30,3161.20,,,1396.23,,1547.09,1327.32,1349.06,1263.05
110,1191.01,3194.19,,,1409.41,,1560.68,1339.49,1361.47,1274.64
111,1201.71,3227.18,,,1422.59,,1574.28,1351.67,1373.80,1286.23
112,1212.42,3260.17,,,1435.78,,1587.87,1363.84,1386.23,1297.82
113,1223.12,3293.16,,,1448.96,,1601.46,1376.02,1398.56,1309.40
114,1233.83,3326.15,,,1462.14,,1615.05,1388.20,1410.95,1320.99
115,1244.54,3359.14,,,1475.32,,1628.64,1400.38,1423.30,1332.58
116,1255.24,3392.13,,,1488.51,,1642.23,1412.56,1435.70,1344.17
117,1265.95,3425.12,,,1501.69,,1655.82,1424.74,1448.05,1355.76
118,1276.65,3458.11,,,1514.87,,1669.41,1436.90,1460.44,1367.34
119,1287.36,3491.10,,,1528.05,,1683.00,1449.08,1472.87,1378.93
120,1298.06,3524.09,,,1541.24,,1696.59,1461.26,1485.20,1390.52
121,1308.77,3557.08,,,1554.42,,1710.19,1473.44,1497.61,1402.11
122,1319.48,3590.07,,,1567.60,,1723.78,1485.62,1509.94,1413.69
123,1330.18,3623.06,,,1580.79,,1737.37,1497.80,1522.36,1425.28
124,1340.89,3656.05,,,1593.97,,1750.96,1509.98,1534.69,1436.87
125,1351.59,3689.04,,,1607.15,,1764.55,1522.15,1547.11,1448.46
126,1362.30,3722.03,,,1620.33,,1778.14,1534.32,1559.45,1460.04
127,1373.00,3755.02,,,1633.52,,1791.73,1546.50,1571.86,1471.63
128,1383.71,3788.01,,,1646.70,,1805.32,1558.68,1584.19,1483.22
129,1394.42,3821.00,,,1659.88,,1818.91,1570.86,1596.61,1494.81
130,1405.12,3853.99,,,1673.06,,1832.51,1583.04,1608.94,1506.39
131,1415.83,3886.98,,,1686.25,,1846.10,1595.21,1621.35,1517.98
132,1426.53,3919.97,,,1699.43,,1859.69,1607.39,1633.69,1529.57
133,1437.24,3952.96,,,1712.61,,1873.28,1619.57,1646.11,1541.16
134,1447.95,3985.95,,,1725.79,,1886.87,1631.75,1658.50,1552.75
135,1458.65,4018.94,,,1738.98,,1900.46,1643.92,1670.85,1564.33
136,1469.36,4051.93,,,1752.16,,1914.05,1656.10,1683.25,1575.92
137,1480.06,4084.92,,,1765.34,,1927.64,1668.27,1695.60,1587.51
138,1490.77,4117.91,,,1778.53,,1941.23,1680.45,1708.00,1599.10
139,1501.47,4150.90,,,1791.71,,1954.82,1692.63,1720.35,1610.68
140,1512.18,4183.89,,,1804.89,,1968.42,1704.81,1732.75,1622.27
141,1522.89,4216.88,,,1818.07,,1982.01,1716.99,1745.10,1633.86
142,1533.59,4249.87,,,1831.26,,1995.60,1729.17,1757.49,1645.45
143,1544.30,4282.86,,,1844.44,,2009.19,1741.34,1769.85,1657.03
144,1555.00,4315.85,,,1857.62,,2022.78,1753.51,1782.24,1668.62
145,1565.71,4348.84,,,1870.80,,2036.37,1765.69,1794.62,1680.21
146,1576.42,4381.83,,,1883.99,,2049.96,1777.87,1806.99,1691.80
147,1587.12,4414.82,,,1897.17,,2063.55,1790.05,1819.37,1703.38
148,1597.83,4447.81,,,1910.35,,2077.14,1802.23,1831.74,1714.97
149,1608.53,4480.80,,,1923.54,,2090.74,1814.41,1844.17,1726.56
150,1619.24,4513.79,,,1936.72,,2104.33,1826.58,1856.49,1738.15
151,1629.94,4546.78,,,1949.90,,2117.92,1838.75,1868.91,1749.74
152,1640.65,4579.77,,,1963.08,,2131.51,1850.93,1881.32,1761.32
153,1651.36,4612.76,,,1976.27,,2145.10,1863.11,1893.74,1772.91
154,1662.06,4645.75,,,1989.45,,2158.69,1875.29,1906.15,1784.50
155,1672.77,4678.74,,,2002.63,,2172.28,1887.47,1918.57,1796.09
156,1683.47,4711.73,,,2015.81,,2185.87,1899.65,1930.99,1807.67
157,1694.18,4744.72,,,2029.00,,2199.46,1911.83,1943.40,1819.26
158,1704.88,4777.71,,,2042.18,,2213.05,1924.01,1955.82,1830.85
159,1715.59,4810.70,,,2055.36,,2226.65,1936.18,1968.24,1842.44
160,1726.30,4843.69,,,2068.54,,2240.24,1948.36,1980.65,1854.02
161,1737.00,4876.68,,,2081.73,,2253.83,1960.54,1993.06,1865.61
162,1747.71,4909.67,,,2094.91,,2267.42,1972.72,2005.49,1877.20
163,1758.41,4942.66,,,2108.09,,2281.01,1984.90,2017.90,1888.79
164,1769.12,4975.65,,,2121.28,,2294.60,1997.08,2030.31,1900.37
165,1779.83,5008.64,,,2134.46,,2308.19,2009.26,2042.73,1911.96
166,1790.53,5041.63,,,2147.64,,2321.78,2021.44,2055.15,1923.55
167,1801.24,5074.62,,,2160.82,,2335.37,2033.61,2067.57,1935.14
168,1811.94,5107.61,,,2174.01,,2348.97,2045.79,2079.98,1946.73
169,1822.65,5140.60,,,2187.19,,2362.56,2057.97,2092.39,1958.31
170,1833.35,5173.59,,,2200.37,,2376.15,2070.15,2104.82,1969.90
171,1844.06,5206.58,,,2213.55,,2389.74,2082.33,2117.23,1981.49
172,1854.77,5239.57,,,2226.74,,2403.33,2094.51,2129.64,1993.08
173,1865.47,5272.56,,,2239.92,,2416.92,2106.69,2142.07,2004.66
174,1876.18,5305.55,,,2253.10,,2430.51,2118.87,2154.48,2016.25
175,1886.88,5338.54,,,2266.28,,2444.10,2131.05,2166.89,2027.84
176,1897.59,5371.53,,,2279.47,,2457.69,2143.22,2179.31,2039.43
177,1908.30,5404.52,,,2292.65,,2471.28,2155.40,2191.73,2051.01
178,1919.00,5437.51,,,2305.83,,2484.88,2167.58,2204.14,2062.60
179,1929.71,5470.50,,,2319.02,,2498.47,2179.76,2216.56,2074.19
180,1940.41,5503.49,,,2332.20,,2512.06,2191.94,2228.97,2085.78
181,1951.12,5536.48,,,2345.38,,2525.65,2204.12,2241.39,2097.36
182,1961.82,5569.47,,,2358.56,,2539.24,2216.30,2253.81,2108.95
183,1972.53,5602.46,,,2371.75,,2552.83,2228.48,2266.22,2120.54
184,1983.24,5635.45,,,2384.93,,2566.42,2240.65,2278.64,2132.13
185,1993.94,5668.44,,,2398.11,,2580.01,2252.83,2291.06,2143.72
186,2004.65,5701.43,,,2411.29,,2593.60,2265.01,2303.47,2155.30
187,2015.35,5734.42,,,2424.48,,2607.20,2277.19,2315.88,2166.89
188,2026.06,5767.41,,,2437.66,,2620.79,2289.37,2328.31,2178.48
189,2036.77,5800.40,,,2450.84,,2634.38,2301.55,2340.72,2190.07
190,2047.47,5833.39,,,2464.03,,2647.97,2313.73,2353.14,2201.65
191,2058.18,5866.38,,,2477.21,,2661.56,2325.91,2365.55,2213.24
192,2068.88,5899.37,,,2490.39,,2675.15,2338.08,2377.97,2224.83
193,2079.59,5932.36,,,2503.57,,2688.74,2350.26,2390.39,2236.42
194,2090.29,5965.35,,,2516.76,,2702.33,2362.44,2402.80,2248.00
195,2101.00,5998.34,,,2529.94,,2715.92,2374.62,2415.21,2259.59
196,2111.71,6031.33,,,2543.12,,2729.51,2386.80,2427.64,2271.18
197,2122.41,6064.32,,,2556.30,,2743.11,2398.98,2440.05,2282.77
198,2133.12,6097.31,,,2569.49,,2756.70,2411.16,2452.46,2294.35
199,2143.82,6130.30,,,2582.67,,2770.29,2423.34,2464.89,2305.94
200,2154.53,6163.29,,,2595.85,,2783.88,2435.52,2477.30,2317.53
201,2165.23,6196.28,,,2609.03,,2797.47,2447.69,2489.71,2329.12
202,2175.94,6229.27,,,2622.22,,2811.06,2459.87,2502.13,2340.71
203,2186.65,6262.26,,,2635.40,,2824.65,2472.05,2514.55,2352.29
204,2197.35,6295.25,,,2648.58,,2838.24,2484.23,2526.96,2363.88
205,2208.06,6328.24,,,2661.77,,2851.83,2496.41,2539.38,2375.47
206,2218.76,6361.23,,,2674.95,,2865.43,2508.59,2551.79,2387.06
207,2229.47,6394.22,,,2688.13,,2879.02,2520.77,2564.21,2398.64
208,2240.18,6427.21,,,2701.31,,2892.61,2532.95,2576.63,2410.23
209,2250.88,6460.20,,,2714.50,,2906.20,2545.12,2589.04,2421.82
210,2261.59,6493.19,,,2727.68,,2919.79,2557.30,2601.46,2433.41
211,2272.29,6526.18,,,2740.86,,2933.38,2569.48,2613.88,2444.99
212,2283.00,6559.17,,,2754.04,,2946.97,2581.66,2626.29,2456.58
213,2293.70,6592.16,,,2767.23,,2960.56,2593.84,2638.71,2468.17
214,2304.41,6625.15,,,2780.41,,2974.15,2606.02,2651.13,2479.76
215,2315.12,6658.14,,,2793.59,,2987.74,2618.20,2663.54,2491.34
216,2325.82,6691.13,,,2806.77,,3001.34,2630.38,2675.96,2502.93
217,2336.53,6724.12,,,2819.96,,3014.93,2642.55,2688.37,2514.52
218,2347.23,6757.11,,,2833.14,,3028.52,2654.73,2700.79,2526.11
219,2357.94,6790.10,,,2846.32,,3042.11,2666.91,2713.21,2537.70
220,2368.65,6823.09,,,2859.51,,3055.70,2679.09,2725.62,2549.28
221,2379.35,6856.08,,,2872.69,,3069.29,2691.27,2738.03,2560.87
222,2390.06,6889.07,,,2885.87,,3082.88,2703.45,2750.46,2572.46
223,2400.76,6922.06,,,2899.05,,3096.47,2715.63,2762.87,2584.05
224,2411.47,6955.05,,,2912.24,,3110.06,2727.81,2775.28,2595.63
225,2422.17,6988.04,,,2925.42,,3123.66,2739.99,2787.71,2607.22
226,2432.88,7021.03,,,2938.60,,3137.25,2752.16,2800.12,2618.81
227,2443.59,7054.02,,,2951.78,,3150.84,2764.34,2812.53,2630.40
228,2454.29,7087.01,,,2964.97,,3164.43,2776.52,2824.95,2641.98
229,2465.00,7120.00,,,2978.15,,3178.02,2788.70,2837.37,2653.57
230,2475.70,7152.99,,,2991.33,,3191.61,2800.88,2849.79,2665.16
231,2486.41,7185.98,,,3004.51,,3205.20,2813.06,2862.20,2676.75
232,2497.11,7218.97,,,3017.70,,3218.79,2825.24,2874.61,2688.33
233,2507.82,7251.96,,,3030.88,,3232.38,2837.42,2887.04,2699.92
234,2518.53,7284.95,,,3044.06,,3245.97,2849.59,2899.45,2711.51
235,2529.23,7317.94,,,3057.25,,3259.57,2861.77,2911.86,2723.10
236,2539.94,7350.93,,,3070.43,,3273.16,2873.95,2924.28,2734.69
237,2550.64,7383.92,,,3083.61,,3286.75,2886.13,2936.70,2746.27
238,2561.35,7416.91,,,3096.79,,3300.34,2898.31,2949.11,2757.86
239,2572.06,7449.90,,,3109.98,,3313.93,2910.49,2961.53,2769.45
240,2582.76,7482.89,,,3123.16,,3327.52,2922.67,2973.95,2781.04
241,2593.47,7515.88,,,3136.34,,3341.11,2934.85,2986.36,2792.62
242,2604.17,7548.87,,,3149.52,,3354.70,2947.02,2998.78,2804.21
243,2614.88,7581.86,,,3162.71,,3368.29,2959.20,3011.19,2815.80
244,2625.58,7614.85,,,3175.89,,3381.89,2971.38,3023.61,2827.39
245,2636.29,7647.84,,,3189.07,,3395.48,2983.56,3036.03,2838.97
246,2647.00,7680.83,,,3202.26,,3409.07,2995.74,3048.44,2850.56
247,2657.70,7713.82,,,3215.44,,3422.66,3007.92,3060.85,2862.15
248,2668.41,7746.81,,,3228.62,,3436.25,3020.10,3073.28,2873.74
249,2679.11,7779.80,,,3241.80,,3449.84,3032.28,3085.69,2885.32
250,2689.82,7812.79,,,3254.99,,3463.43,3044.46,3098.10,2896.91
251,2700.53,7845.78,,,3268.17,,3477.02,3056.63,3110.52,2908.50
252,2711.23,7878.77,,,3281.35,,3490.61,3068.81,3122.94,2920.09
253,2721.94,7911.76,,,3294.53,,3504.21,3080.99,3135.36,2931.68
254,2732.64,7944.75,,,3307.72,,3517.80,3093.17,3147.77,2943.26
255,2743.35,7977.74,,,3320.90,,3531.39,3105.35,3160.19,2954.85
256,2754.05,8010.73,,,3334.08,,3544.98,3117.53,3172.61,2966.44
257,2764.76,8043.72,,,3347.26,,3558.57,3129.71,3185.02,2978.03
258,2775.47,8076.71,,,3360.45,,3572.16,3141.89,3197.43,2989.61
259,2786.17,8109.70,,,3373.63,,3585.75,3154.06,3209.86,3001.20
260,2796.88,8142.69,,,3386.81,,3599.34,3166.24,3222.27,3012.79
261,2807.58,8175.68,,,3400.00,,3612.93,3178.42,3234.68,3024.38
262,2818.29,8208.67,,,3413.18,,3626.52,3190.60,3247.10,3035.96
263,2828.99,8241.66,,,3426.36,,3640.12,3202.78,3259.52,3047.55
264,2839.70,8274.65,,,3439.54,,3653.71,3214.96,3271.93,3059.14
265,2850.41,8307.64,,,3452.73,,3667.30,3227.14,3284.35,3070.73
266,2861.11,8340.63,,,3465.91,,3680.89,3239.32,3296.77,3082.31
267,2871.82,8373.62,,,3479.09,,3694.48,3251.49,3309.18,3093.90
268,2882.52,8406.61,,,3492.27,,3708.07,3263.67,3321.60,3105.49
269,2893.23,8439.60,,,3505.46,,3721.66,3275.85,3334.01,3117.08
270,2903.94,8472.59,,,3518.64,,3735.25,3288.03,3346.43,3128.67
271,2914.64,8505.58,,,3531.82,,3748.84,3300.21,3358.85,3140.25
272,2925.35,8538.57,,,3545.00,,3762.44,3312.39,3371.26,3151.84
273,2936.05,8571.56,,,3558.19,,3776.03,3324.57,3383.68,3163.43
274,2946.76,8604.55,,,3571.37,,3789.62,3336.75,3396.10,3175.02
275,2957.46,8637.54,,,3584.55,,3803.21,3348.93,3408.51,3186.60
276,2968.17,8670.53,,,3597.74,,3816.80,3361.10,3420.93,3198.19
277,2978.88,8703.52,,,3610.92,,3830.39,3373.28,3433.34,3209.78
278,2989.58,8736.51,,,3624.10,,3843.98,3385.46,3445.76,3221.37
279,3000.29,8769.50,,,3637.28,,3857.57,3397.64,3458.18,3232.95
280,3010.99,8802.49,,,3650.47,,3871.16,3409.82,3470.59,3244.54
281,3021.70,8835.48,,,3663.65,,3884.75,3422.00,3483.01,3256.13
282,3032.41,8868.47,,,3676.83,,3898.35,3434.18,3495.43,3267.72
283,3043.11,8901.46,,,3690.01,,3911.94,3446.36,3507.84,3279.30
284,3053.82,8934.45,,,3703.20,,3925.53,3458.53,3520.25,3290.89
285,3064.52,8967.44,,,3716.38,,3939.12,3470.71,3532.68,3302.48
286,3075.23,9000.43,,,3729.56,,3952.71,3482.89,3545.09,3314.07
287,3085.93,9033.42,,,3742.75,,3966.30,3495.07,3557.50,3325.66
288,3096.64,9066.41,,,3755.93,,3979.89,3507.25,3569.92,3337.24
289,3107.35,9099.40,,,3769.11,,3993.48,3519.43,3582.34,3348.83
290,3118.05,9132.39,,,3782.29,,4007.07,3531.61,3594.75,3360.42
291,3128.76,9165.38,,,3795.48,,4020.67,3543.79,3607.17,3372.01
292,3139.46,9198.37,,,3808.66,,4034.26,3555.96,3619.58,3383.59
293,3150.17,9231.36,,,3821.84,,4047.85,3568.14,3632.00,3395.18
294,3160.88,9264.35,,,3835.02,,4061.44,3580.32,3644.42,3406.77
295,3171.58,9297.34,,,3848.21,,4075.03,3592.50,3656.83,3418.36
296,3182.29,9330.33,,,3861.39,,4088.62,3604.68,3669.26,3429.94
297,3192.99,9363.32,,,3874.57,,4102.21,3616.86,3681.67,3441.53
298,3203.70,9396.31,,,3887.75,,4115.80,3629.04,3694.08,3453.12
299,3214.40,9429.30,,,3900.94,,4129.39,3641.22,3706.50,3464.71
300,3225.11,9462.29,,,3914.12,,4142.98,3653.40,3718.92,3476.30
301,3235.82,9495.28,,,3927.30,,4156.58,3665.57,3731.33,3487.88
302,3246.52,9528.27,,,3940.49,,4170.17,3677.75,3743.75,3499.47
303,3257.23,9561.26,,,3953.67,,4183.76,3689.93,3756.16,3511.06
304,3267.93,9594.25,,,3966.85,,4197.35,3702.11,3768.58,3522.65
305,3278.64,9627.24,,,3980.03,,4210.94,3714.29,3781.00,3534.23
306,3289.34,9660.23,,,3993.22,,4224.53,3726.47,3793.41,3545.82
307,3300.05,9693.22,,,4006.40,,4238.12,3738.65,3805.83,3557.41
308,3310.76,9726.21,,,4019.58,,4251.71,3750.83,3818.25,3569.00
309,3321.46,9759.20,,,4032.76,,4265.30,3763.00,3830.66,3580.58
310,3332.17,9792.19,,,4045.95,,4278.90,3775.18,3843.07,3592.17
311,3342.87,9825.18,,,4059.13,,4292.49,3787.36,3855.50,3603.76
312,3353.58,9858.17,,,4072.31,,4306.08,3799.54,3867.91,3615.35
313,3364.29,9891.16,,,4085.49,,4319.67,3811.72,3880.32,3626.93
314,3374.99,9924.15,,,4098.68,,4333.26,3823.90,3892.74,3638.52
315,3385.70,9957.14,,,4111.86,,4346.85,3836.08,3905.16,3650.11
316,3396.40,9990.13,,,4125.04,,4360.44,3848.26,3917.58,3661.70
317,3407.11,10023.12,,,4138.23,,4374.03,3860.43,3929.99,3673.29
318,3417.81,10056.11,,,4151.41,,4387.62,3872.61,3942.40,3684.87
319,3428.52,10089.10,,,4164.59,,4401.21,3884.79,3954.83,3696.46
320,3439.23,10122.09,,,4177.77,,4414.81,3896.97,3967.24,3708.05
321,3449.93,10155.08,,,4190.96,,4428.40,3909.15,3979.65,3719.64
322,3460.64,10188.07,,,4204.14,,4441.99,3921.33,3992.08,3731.22
323,3471.34,10221.06,,,4217.32,,4455.58,3933.51,4004.49,3742.81
324,3482.05,10254.05,,,4230.50,,4469.17,3945.69,4016.90,3754.40
325,3492.76,10287.04,,,4243.69,,4482.76,3957.87,4029.32,3765.99
326,3503.46,10320.03,,,4256.87,,4496.35,3970.04,4041.74,3777.57
327,3514.17,10353.02,,,4270.05,,4509.94,3982.22,4054.15,3789.16
328,3524.87,10386.01,,,4283.23,,4523.53,3994.40,4066.57,3800.75
329,3535.58,10419.00,,,4296.42,,4537.13,4006.58,4078.98,3812.34
330,3546.28,10451.99,,,4309.60,,4550.72,4018.76,4091.40,3823.92
331,3556.99,10484.98,,,4322.78,,4564.31,4030.94,4103.82,3835.51
332,3567.70,10517.97,,,4335.97,,4577.90,4043.12,4116.23,3847.10
333,3578.40,10550.96,,,4349.15,,4591.49,4055.30,4128.64,3858.69
334,3589.11,10583.95,,,4362.33,,4605.08,4067.47,4141.07,3870.28
